Frame,Vehicle_ID,Vehicle_Type,Direction,Speed_Km_h,cx,cy,x1,y1,x2,y2
43,vehicle_1,car,Down,51.43,432,266,361,215,503,317
69,vehicle_2,car,Down,49.09,709,264,631,209,788,320
79,vehicle_3,car,Down,48.0,424,264,343,208,505,321
192,vehicle_4,car,Down,55.38,454,265,379,215,529,316
267,vehicle_5,car,Down,50.23,683,265,609,216,758,314
388,vehicle_6,car,Down,63.53,482,264,402,203,563,326
438,vehicle_7,car,Down,45.96,732,263,655,213,809,314
470,vehicle_8,car,Down,55.38,523,264,449,206,597,322
670,vehicle_9,car,Down,58.38,468,263,392,215,544,311
694,vehicle_10,car,Down,46.96,704,264,628,215,781,314
771,vehicle_11,car,Down,48.0,700,264,630,214,771,314
955,vehicle_12,car,Down,46.96,442,263,369,211,515,316
966,vehicle_13,car,Down,39.27,720,263,645,212,796,314
1027,vehicle_14,car,Down,39.27,727,263,655,213,799,314
1113,vehicle_15,car,Down,43.2,731,265,659,214,804,316
1113,vehicle_16,car,Down,45.0,430,263,356,214,505,312
1235,vehicle_17,car,Down,40.75,724,264,652,213,796,315
1237,vehicle_18,motorcycle,Down,45.96,438,263,406,224,471,303
1242,vehicle_17,car,Up,308.57,636,195,558,134,715,256
1276,vehicle_19,car,Down,48.0,435,264,361,215,509,314
1347,vehicle_20,car,Down,49.09,460,264,382,215,538,314
1418,vehicle_21,car,Down,44.08,771,264,696,208,847,321
1459,vehicle_22,car,Down,49.09,476,265,405,216,547,314
